,year,party,window_id,terms,dynamic_id,topic_label,sub_topic,major_topic
204,1983,Rep,44,"['opportunity', 'give', 'hope', 'deny', 'suspension_calendar', 'review', 'clinch_river', 'discuss', 'assurance', 'agriculture', 'able', 'come_floor', 'start', 'believe', 'concerned', 'supplemental_appropriation', 'fairness', 'urgent', 'legislator', 'future']",77,?_?,,
211,1983,Rep,51,"['use', 'purpose', 'chemical_weapon', 'weapon', 'animal', 'production', 'same', 'argument', 'engine', 'drug', 'produce', 'available', 'exist', 'facility', 'read', 'chemical', 'such', 'appropriate', 'method', 'refer']",34,?_?,,
223,1983,Rep,63,"['kind', 'seem', 'waiver', 'particular', 'body', 'appreciate_gentleman', 'find', 'course', 'whole', 'secretary', 'hope', 'line', 'adopt', 'regard', 'certain', 'end', 'able', 'concern', 'many', 'one']",65,?_?,,
226,1983,Rep,66,"['housing', 'assistance', 'mortgage', 'rent_control', 'unit', 'city', 'hud', 'home', 'foreclosure', 'new', 'rent', 'family', 'homeowner', 'emergency', 'income', 'rental_housing', 'community', 'lender', 'insurance', 'construction']",43,housing_?,general,housing
234,1983,Rep,74,"['nation', 'world', 'united', 'effort', 'economic', 'caribbean', 'help', 'international', 'provide', 'interest', 'believe', 'many', 'region', 'energy', 'support', 'caribbean_basin', 'trade', 'security', 'recent', 'initiative']",64,?_?,,
238,1983,Rep,78,"['study', 'refugee', 'additional', 'information', 'impact', 'river', 'mandate', 'flooding', 'daylight_saving', 'show', 'recommendation', 'number', 'energy', 'appropriate', 'academy', 'completion', 'board', 'ongoing', 'survey', 'daylight']",120,?_?,,
240,1984,Rep,0,"['policy', 'government', 'lebanon', 'economic', 'monetary_policy', 'foreign_policy', 'fed', 'fiscal', 'political', 'establish', 'position', 'federal_reserve', 'south_africa', 'marine', 'start', 'sound', 'view', 'implement', 'board', 'favor']",80,?_?,,
262,1984,Rep,22,"['system', 'test', 'space', 'asat', 'capability', 'testing', 'deploy', 'build', 'technology', 'weapon', 'satellite', 'operational', 'develop', 'new', 'missile', 'development', 'antisatellite_weapon', 'antisatellite', 'launch', 'moratorium']",42,?_?,procurement,defense
264,1984,Rep,24,"['cost', 'energy', 'estimate', 'saving', 'consumer', 'government', 'price', 'utility', 'taxpayer', 'high', 'weatherization', 'figure', 'benefit', 'health_care', 'rate', 'construction', 'plant', 'reduce', 'save', 'total']",40,?_costs,costs,energy
266,1984,Rep,26,"['problem', 'solve', 'way', 'area', 'hunger', 'lot', 'serious', 'solution', 'solve_problem', 'course', 'select_committee', 'face', 'least', 'real', 'situation', 'structure', 'particular', 'effort', 'reason', 'handle']",31,?_?,,
